Drink,Size,Instructions,Image
Cafe Latte,Tall,"<b>Cafe Latte Tall</b><ul><li>3 pumps of syrup</li><li>1 shots of espresso</li><li>8 oz of milk</li><li>top with ice</li></ul>",./images/cafelatte.jpg
Cafe Latte,Grande,"<b>Cafe Latte Grande</b><ul><li>4 pumps of syrup</li><li>2 shots of espresso</li><li>12 oz of milk</li><li>top with ice</li></ul>",./images/cafelatte.jpg
Cafe Latte,Venti,"<b>Cafe Latte Venti</b><ul><li>6 pumps of syrup</li><li>2 shots of espresso</li><li>16 oz of milk</li><li>top with ice</li></ul>",./images/cafelatte.jpg
Gingerbread Chai,Tall,"<b>Gingerbread Chai Tall</b><ul><li>3 pumps of chai</li><li>8 oz of milk</li><li>ice almost to the top</li><li>top with cold foam with 2 pumps of gingerbread syrup</li></ul>",./images/IcedGingerbreadOatmilkChai.jpg
Gingerbread Chai,Grande,"<b>Gingerbread Chai Grande</b><ul><li>4 pumps of chai</li><li>12 oz of milk</li><li>ice almost to the top</li><li>top with cold foam with 2 pumps of gingerbread syrup</li></ul>",./images/IcedGingerbreadOatmilkChai.jpg
Gingerbread Chai,Venti,"<b>Gingerbread Chai Venti</b><ul><li>6 pumps of chai</li><li>16 oz of milk</li><li>ice almost to the top</li><li>top with cold foam with 2 pumps of gingerbread syrup</li></ul>",./images/IcedGingerbreadOatmilkChai.jpg
Cappuccino,Tall,"<b>Cappuccino Tall</b><ul><li>1 shot of espresso</li><li>8 oz of aerated steamed milk</li></ul>",./images/Cappuccino.jpg
Cappuccino,Grande,"<b>Cappuccino Grande</b><ul><li>2 shots of espresso</li><li>12 oz of aerated steamed milk</li></ul>",./images/Cappuccino.jpg
Cappuccino,Venti,"<b>Cappuccino Venti</b><ul><li>2 shots of espresso</li><li>16 oz of aerated steamed milk</li></ul>",./images/Cappuccino.jpg
Mocha,Tall,"<b>Mocha Tall</b><ul><li>3 pumps mocha</li><li>1 shot of espresso</li><li>8 oz of milk</li><li>top with ice (if cold) and whipped cream</li></ul>",./images/Mocha.jpg
